host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price_type,minimum_nights_range,number_of_reviews_range,reviews_per_month_range,calculated_host_listings_range,availability_365_range,last_review_year,last_review_month
2787,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,0.21,6,365,Medium,Less than 3,0 to 25,Less than 3,5 to 10,300+,2018.0,10.0
2845,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,0.38,2,355,High,Less than 3,26 to 50,Less than 3,Less than 2,300+,2019.0,5.0
4632,Elisabeth,Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,0.0,1,365,Medium,Less than 3,0 to 25,No Review,Less than 2,300+,No Review,No Review
7192,Laura,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,0.1,1,0,Low,10+,0 to 25,Less than 3,Less than 2,Less than 100,2018.0,11.0
7322,Chris,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,0.59,1,129,Medium,Less than 3,51 to 75,Less than 3,Less than 2,100 to 200,2019.0,6.0
7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,0.4,1,0,Low,10+,26 to 50,Less than 3,Less than 2,Less than 100,2017.0,5.0
7490,MaryEllen,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,0.99,1,0,Low,Less than 3,100+,Less than 3,Less than 2,Less than 100,2017.0,7.0
7549,Ben,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,1.33,4,188,Medium,Less than 3,100+,Less than 3,2 to 5,100 to 200,2019.0,9.0
7702,Lena,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,0.43,1,6,Medium,4 to 6,51 to 75,Less than 3,Less than 2,Less than 100,2019.0,6.0
9744,Laurie,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,1.34,3,314,Low,4 to 6,100+,Less than 3,2 to 5,300+,2019.0,6.0
11528,Claudio,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,0.91,1,333,Low,Less than 3,100+,Less than 3,Less than 2,300+,2019.0,5.0
15991,Allen & Irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1.2,1,46,Medium,Less than 3,100+,Less than 3,Less than 2,Less than 100,2019.0,6.0
20950,Adam And Charity,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,4.44,1,21,Low,Less than 3,51 to 75,4 to 6,Less than 2,Less than 100,2019.0,6.0
